Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
02/14/2022|3.23|3.25|3.26|3.26|2.92|2.92|3|3|3|3|3|3|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.04|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76|3.76
02/21/2022|3.29|3.38|3.42|3.42|3.1|3.1|3.16|3.16|3.15|3.15|3.15|3.15|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.27|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99|3.99
02/28/2022|3.3|3.36|3.4|3.4|3.1|3.1|3.16|3.16|3.14|3.14|3.14|3.14|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.24|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96|3.96
03/07/2022|3.29|3.37|3.38|3.38|3.03|3.03|3.1|3.1|3.1|3.1|3.1|3.1|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.12|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83|3.83
03/14/2022|3.29|3.46|3.46|3.46|3.09|3.09|3.12|3.12|3.1|3.1|3.1|3.1|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.2|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92|3.92
03/21/2022|3.33|3.59|3.56|3.56|3.27|3.27|3.3|3.3|3.26|3.26|3.26|3.26|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|3.51|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23
03/28/2022|3.38|3.73|3.81|3.81|3.48|3.48|3.48|3.48|3.41|3.41|3.41|3.41|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|3.75|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49
04/04/2022|3.38|3.79|3.91|3.91|3.62|3.62|3.59|3.59|3.48|3.48|3.48|3.48|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74
04/11/2022|3.55|3.96|4.03|4.03|3.68|3.68|3.62|3.62|3.49|3.49|3.49|3.49|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79
04/18/2022|3.54|3.89|4.01|4.01|3.81|3.81|3.84|3.84|3.79|3.79|3.79|3.79|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07|5.07
04/25/2022|3.6|3.97|4.07|4.07|3.87|3.87|3.87|3.87|3.83|3.83|3.83|3.83|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18
05/02/2022|3.65|3.97|4.08|4.08|3.9|3.9|3.89|3.89|3.83|3.83|3.83|3.83|4.53|4.53|4.53|4.53|4.53|4.53|4.53|4.53|4.53|4.53|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17|5.17
05/09/2022|3.65|4.03|4.12|4.12|4.04|4.04|4.05|4.05|3.98|3.98|3.98|3.98|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35
05/16/2022|3.79|4.16|4.25|4.25|4.1|4.1|4.14|4.14|4.1|4.1|4.1|4.1|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38|5.38
05/23/2022|3.77|4.11|4.19|4.19|4.16|4.16|4.18|4.18|4.15|4.15|4.15|4.15|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33|5.33
05/30/2022|3.77|4.12|4.29|4.29|4.32|4.32|4.33|4.33|4.27|4.27|4.27|4.27|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|4.43|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18|5.18
06/06/2022|3.8|4.07|4.22|4.22|4.16|4.16|4.18|4.18|4.12|4.12|4.12|4.12|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16|5.16
06/13/2022|3.85|4.14|4.3|4.3|4.24|4.24|4.25|4.25|4.18|4.18|4.18|4.18|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31|5.31
06/20/2022|3.87|4.14|4.36|4.36|4.45|4.45|4.41|4.41|4.29|4.29|4.29|4.29|4.95|4.95|4.95|4.95|4.95|4.95|4.95|4.95|4.95|4.95|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86|5.86
06/27/2022|3.95|4.16|4.4|4.4|4.53|4.53|4.52|4.52|4.41|4.41|4.41|4.41|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88|5.88
07/04/2022|4.07|4.22|4.44|4.44|4.62|4.62|4.62|4.62|4.52|4.52|4.52|4.52|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78|5.78
07/11/2022|4.03|4.16|4.19|4.19|4.35|4.35|4.35|4.35|4.27|4.27|4.27|4.27|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37
07/18/2022|4.07|4.08|4.2|4.2|4.43|4.43|4.4|4.4|4.31|4.31|4.31|4.31|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58|5.58
07/25/2022|4.09|4.13|4.28|4.28|4.43|4.43|4.37|4.37|4.24|4.24|4.24|4.24|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61|5.61
08/01/2022|4.09|4.06|4.22|4.22|4.41|4.41|4.38|4.38|4.28|4.28|4.28|4.28|4.7|4.7|4.7|4.7|4.7|4.7|4.7|4.7|4.7|4.7|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37|5.37
08/08/2022|4.05|4.03|4.2|4.2|4.37|4.37|4.31|4.31|4.21|4.21|4.21|4.21|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06|5.06
08/15/2022|3.95|4.01|4.12|4.12|4.43|4.43|4.36|4.36|4.27|4.27|4.27|4.27|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28
08/22/2022|4|4.08|4.3|4.3|4.51|4.51|4.43|4.43|4.31|4.31|4.31|4.31|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2|5.2
08/29/2022|4.03|4.16|4.33|4.33|4.52|4.52|4.45|4.45|4.33|4.33|4.33|4.33|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|4.97|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62
09/05/2022|4.08|4.22|4.4|4.4|4.67|4.67|4.58|4.58|4.45|4.45|4.45|4.45|5.1|5.1|5.1|5.1|5.1|5.1|5.1|5.1|5.1|5.1|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73
09/12/2022|4.08|4.16|4.4|4.4|4.8|4.8|4.74|4.74|4.63|4.63|4.63|4.63|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.28|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95|5.95
09/19/2022|4.09|4.14|4.46|4.46|5.01|5.01|4.94|4.94|4.82|4.82|4.82|4.82|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|5.35|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09
09/26/2022|4.34|4.52|4.72|4.72|5.13|5.13|5.01|5.01|4.85|4.85|4.85|4.85|5.59|5.59|5.59|5.59|5.59|5.59|5.59|5.59|5.59|5.59|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38|6.38
10/03/2022|4.6|4.89|5.16|5.16|5.47|5.47|5.34|5.34|5.16|5.16|5.16|5.16|6.16|6.16|6.16|6.16|6.16|6.16|6.16|6.16|6.16|6.16|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79
10/10/2022|4.45|4.81|5.06|5.06|5.48|5.48|5.35|5.35|5.21|5.21|5.21|5.21|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74
10/17/2022|4.65|4.95|5.36|5.36|5.89|5.89|5.79|5.79|5.64|5.64|5.64|5.64|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7
10/24/2022|4.95|5.17|5.43|5.43|5.88|5.88|5.74|5.74|5.59|5.59|5.59|5.59|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03
10/31/2022|4.81|5.09|5.46|5.46|6.08|6.08|5.98|5.98|5.89|5.89|5.89|5.89|6.58|6.58|6.58|6.58|6.58|6.58|6.58|6.58|6.58|6.58|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16|7.16
11/07/2022|5.1|5.18|5.46|5.46|6.03|6.03|5.92|5.92|5.8|5.8|5.8|5.8|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03|7.03
11/14/2022|5.31|5.43|5.65|5.65|6.14|6.14|6.04|6.04|5.94|5.94|5.94|5.94|6.54|6.54|6.54|6.54|6.54|6.54|6.54|6.54|6.54|6.54|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17|7.17
11/21/2022|5.37|5.35|5.38|5.38|5.7|5.7|5.6|5.6|5.48|5.48|5.48|5.48|6.12|6.12|6.12|6.12|6.12|6.12|6.12|6.12|6.12|6.12|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64|6.64
11/28/2022|5.37|5.34|5.38|5.38|5.68|5.68|5.57|5.57|5.44|5.44|5.44|5.44|6|6|6|6|6|6|6|6|6|6|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63|6.63
12/05/2022|5.34|5.29|5.32|5.32|5.66|5.66|5.54|5.54|5.42|5.42|5.42|5.42|5.91|5.91|5.91|5.91|5.91|5.91|5.91|5.91|5.91|5.91|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47|6.47
12/12/2022|5.35|5.17|5.2|5.2|5.55|5.55|5.44|5.44|5.3|5.3|5.3|5.3|5.8|5.8|5.8|5.8|5.8|5.8|5.8|5.8|5.8|5.8|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37|6.37
12/19/2022|5.34|5.2|5.18|5.18|5.53|5.53|5.42|5.42|5.29|5.29|5.29|5.29|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25|6.25
12/26/2022|5.07|5.04|5.15|5.15|5.56|5.56|5.49|5.49|5.37|5.37|5.37|5.37|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|5.62|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28|6.28
01/02/2023|5.1|5.07|5.23|5.23|5.74|5.74|5.7|5.7|5.59|5.59|5.59|5.59|5.92|5.92|5.92|5.92|5.92|5.92|5.92|5.92|5.92|5.92|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49|6.49
01/09/2023|5.1|5.13|5.26|5.26|5.74|5.74|5.62|5.62|5.48|5.48|5.48|5.48|5.89|5.89|5.89|5.89|5.89|5.89|5.89|5.89|5.89|5.89|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53|6.53
01/16/2023|5.08|4.99|5.11|5.11|5.66|5.66|5.56|5.56|5.46|5.46|5.46|5.46|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|5.66|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26|6.26
01/23/2023|5.08|4.97|5.06|5.06|5.58|5.58|5.5|5.5|5.43|5.43|5.43|5.43|5.29|5.29|5.29|5.29|5.29|5.29|5.29|5.29|5.29|5.29|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02|6.02
01/30/2023|5.08|4.87|5.04|5.04|5.55|5.55|5.48|5.48|5.41|5.41|5.41|5.41|5.27|5.27|5.27|5.27|5.27|5.27|5.27|5.27|5.27|5.27|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09|6.09
02/06/2023|5.07|4.89|5.01|5.01|5.5|5.5|5.43|5.43|5.35|5.35|5.35|5.35|5.3|5.3|5.3|5.3|5.3|5.3|5.3|5.3|5.3|5.3|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06|6.06
02/13/2023|5.32|5.12|5.09|5.09|5.55|5.55|5.45|5.45|5.32|5.32|5.32|5.32|5.53|5.53|5.53|5.53|5.53|5.53|5.53|5.53|5.53|5.53|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24|6.24
02/20/2023|5.38|5.24|5.37|5.37|5.78|5.78|5.65|5.65|5.51|5.51|5.51|5.51|5.79|5.79|5.79|5.79|5.79|5.79|5.79|5.79|5.79|5.79|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42
02/27/2023|5.19|5.24|5.45|5.45|6|6|5.88|5.88|5.71|5.71|5.71|5.71|6.01|6.01|6.01|6.01|6.01|6.01|6.01|6.01|6.01|6.01|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74|6.74
03/06/2023|5.19|5.44|5.6|5.6|6.14|6.14|5.99|5.99|5.8|5.8|5.8|5.8|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.11|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83|6.83
03/13/2023|5.2|5.48|5.63|5.63|6.17|6.17|5.98|5.98|5.76|5.76|5.76|5.76|6.22|6.22|6.22|6.22|6.22|6.22|6.22|6.22|6.22|6.22|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79|6.79
03/20/2023|5.17|5.37|5.69|5.69|6.36|6.36|6.27|6.27|6.15|6.15|6.15|6.15|5.97|5.97|5.97|5.97|5.97|5.97|5.97|5.97|5.97|5.97|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59|6.59
03/27/2023|5.17|5.04|5.17|5.17|5.67|5.67|5.62|5.62|5.52|5.52|5.52|5.52|5.74|5.74|5.74|5.74|5.74|5.74|5.74|5.74|5.74|5.74|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48|6.48
04/03/2023|5.2|5.04|5.16|5.16|5.68|5.68|5.62|5.62|5.55|5.55|5.55|5.55|5.67|5.67|5.67|5.67|5.67|5.67|5.67|5.67|5.67|5.67|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32|6.32
04/10/2023|5.2|4.98|5.08|5.08|5.67|5.67|5.62|5.62|5.56|5.56|5.56|5.56|5.65|5.65|5.65|5.65|5.65|5.65|5.65|5.65|5.65|5.65|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35|6.35
04/17/2023|5.57|5.15|5.31|5.31|5.83|5.83|5.75|5.75|5.69|5.69|5.69|5.69|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|5.73|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42|6.42
04/24/2023|6.97|6.21|5.9|5.9|5.86|5.86|5.88|5.88|6.06|6.06|6.06|6.06|5.93|5.93|5.93|5.93|5.93|6.19|6.19|6.19|6.19|6.19|6.19|6.19|6.19|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44|6.44
05/01/2023|7.09|6.24|5.93|5.93|5.88|5.88|5.82|5.82|6.16|6.16|6.16|6.16|5.82|5.82|5.82|5.82|5.82|6.21|6.21|6.21|6.21|6.21|6.21|6.21|6.21|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4
05/08/2023|7.39|6.44|6.08|6.08|5.91|5.91|6.01|6.01|6.12|6.12|6.12|6.12|5.86|5.86|5.86|5.86|5.86|6.23|6.23|6.23|6.23|6.23|6.23|6.23|6.23|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4
05/15/2023|7.64|6.66|6.26|6.26|5.93|5.93|5.85|5.85|6.19|6.19|6.19|6.19|5.95|5.95|5.95|5.95|5.95|6.18|6.18|6.18|6.18|6.18|6.18|6.18|6.18|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39|6.39
05/22/2023|7.9|6.75|6.3|6.3|6|6|5.93|5.93|6.17|6.17|6.17|6.17|5.97|5.97|5.97|5.97|5.97|6.21|6.21|6.21|6.21|6.21|6.21|6.21|6.21|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46|6.46
